=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 17:01:49 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_L
12145, 1, 0, 
12147, 9, 0, 
12149, 9, 1, 
12151, 4, 0, 
12153, 1, 0, 
12155, 0, 0, 
12157, 4, 1, 
12160, 0, 0, 
12162, 0, 0, 
12164, 4, 0, 
12166, 4, 1, 
12168, 196, 4, 
12170, 64, 16, 
12172, 49, 4, 
12174, 4, 1, 
12176, 4, 4, 
12178, 0, 0, 
12180, 0, 1, 
12182, 0, 1, 
12184, 0, 0, 
12186, 0, 1, 
12188, 1, 0, 
12190, 0, 4, 
12192, 0, 4, 
12194, 1, 1, 
12196, 0, 1, 
12199, 1, 0, 
12201, 16, 0, 
12204, 0, 1, 
12206, 1, 0, 
12208, 9, 0, 
12210, 1, 1, 
12212, 0, 0, 
12214, 1, 0, 
12216, 0, 1, 
12218, 0, 0, 
12220, 0, 1, 
12222, 0, 1, 
12224, 0, 0, 
12226, 0, 0, 
12228, 4, 0, 
12230, 4, 0, 
12232, 9, 0, 
12234, 0, 0, 
12236, 25, 0, 
12238, 324, 4, 
12240, 1, 9, 
12242, 81, 4, 
12244, 4, 1, 
12247, 4, 9, 
12249, 0, 0, 
12251, 0, 0, 
12253, 0, 4, 
12255, 16, 0, 
12257, 1, 0, 
12259, 36, 0, 
12261, 9, 1, 
12263, 16, 0, 
12265, 0, 0, 
12267, 1, 0, 
12269, 1, 1, 
12271, 0, 1, 
12273, 0, 0, 
12275, 1, 0, 
12277, 9, 1, 
12279, 4, 0, 
12281, 0, 1, 
12283, 1, 1, 
12285, 1, 0, 
12288, 0, 0, 
12290, 0, 0, 
12292, 1, 0, 
12294, 0, 0, 
12296, 0, 0, 
12298, 1, 0, 
12300, 0, 0, 
12302, 0, 0, 
12304, 0, 0, 
12306, 4, 0, 
12308, 9, 0, 
12310, 0, 1, 
12312, 1, 0, 
12315, 0, 0, 
12317, 0, 0, 
12319, 1, 1, 
12321, 1, 1, 
12323, 0, 0, 
12325, 4, 0, 
12327, 1, 0, 
12329, 0, 1, 
12332, 4, 0, 
12334, 9, 0, 
12336, 1, 0, 
12338, 0, 0, 
12340, 0, 0, 
12342, 1, 0, 
12344, 0, 0, 
12346, 0, 1, 
12348, 1, 0, 
12350, 9, 0, 
12352, 1, 0, 
12354, 0, 0, 
12356, 0, 0, 
12358, 0, 0, 
12360, 0, 0, 
12362, 1, 0, 
12364, 0, 0, 
12366, 0, 0, 
12368, 1, 0, 
12370, 1, 0, 
12372, 0, 0, 
12375, 1, 0, 
12377, 0, 0, 
12379, 0, 0, 
12381, 0, 0, 
12383, 1, 0, 
12385, 9, 0, 
12387, 1, 0, 
12389, 1, 0, 
12391, 0, 0, 
12393, 0, 0, 
12395, 0, 0, 
12397, 0, 1, 
12399, 1, 0, 
12401, 0, 0, 
12403, 0, 0, 
12405, 1, 0, 
12407, 16, 0, 
12409, 9, 1, 
12411, 1, 0, 
12413, 4, 1, 
12416, 0, 0, 
12418, 25, 0, 
12420, 1, 0, 
12422, 0, 0, 
12424, 4, 0, 
12426, 25, 0, 
12429, 1, 0, 
12431, 25, 0, 
12433, 4, 4, 
12435, 0, 0, 
12437, 0, 0, 
12439, 0, 9, 
12441, 1, 0, 
12443, 0, 0, 
12445, 0, 0, 
12447, 0, 4, 
12449, 0, 0, 
12451, 0, 1, 
12453, 0, 1, 
12455, 1, 0, 
12457, 1, 0, 
12460, 0, 0, 
12462, 0, 1, 
12464, 0, 0, 
12466, 1, 0, 
12468, 0, 1, 
12470, 0, 0, 
12472, 0, 0, 
12474, 0, 0, 
12476, 0, 0, 
12478, 4, 1, 
12480, 9, 0, 
12482, 16, 1, 
12484, 9, 0, 
12486, 81, 4, 
12488, 4, 1, 
12490, 4, 0, 
12492, 9, 0, 
12494, 1, 0, 
12496, 4, 0, 
12498, 1, 1, 
12500, 0, 1, 
12503, 1, 0, 
12505, 0, 0, 
12507, 1, 0, 
12509, 0, 0, 
12511, 1, 0, 
12513, 4, 0, 
12515, 4, 0, 
12517, 9, 1, 
12519, 0, 0, 
12521, 0, 0, 
12523, 0, 0, 
12525, 1, 0, 
12527, 1, 0, 
12529, 1, 0, 
12531, 0, 0, 
12533, 1, 0, 
12535, 1, 0, 
12537, 0, 0, 
12539, 0, 0, 
12542, 0, 0, 
12545, 0, 0, 
12547, 1, 0, 
12549, 1, 0, 
12551, 4, 0, 
12553, 0, 0, 
12555, 0, 0, 
12557, 1, 0, 
12559, 1, 0, 
12561, 0, 0, 
12563, 1, 0, 
12565, 0, 0, 
12567, 49, 1, 
12569, 9, 9, 
12571, 9, 0, 
12573, 0, 0, 
12575, 0, 1, 
12577, 1, 1, 
12579, 1, 1, 
12581, 0, 0, 
12583, 0, 0, 
12585, 0, 0, 
12588, 0, 0, 
12590, 4, 1, 
12592, 4, 0, 
12594, 1, 0, 
12596, 1, 0, 
12598, 0, 0, 
12600, 1, 0, 
12602, 49, 1, 
12604, 4, 4, 
12606, 16, 0, 
12608, 1, 0, 
12610, 4, 1, 
12612, 0, 0, 
12614, 0, 0, 
12616, 1, 1, 
12618, 0, 0, 
12620, 1, 4, 
12622, 1, 0, 
12624, 1, 0, 
12626, 4, 0, 
12628, 1, 0, 
12631, 16, 0, 
12633, 0, 0, 
12635, 0, 0, 
12637, 4, 0, 
12639, 4, 0, 
12641, 0, 1, 
12643, 0, 0, 
12645, 0, 0, 
12647, 0, 0, 
12649, 0, 4, 
12651, 16, 0, 
12653, 49, 1, 
12656, 0, 0, 
12658, 4, 1, 
12660, 0, 1, 
12662, 0, 1, 
12664, 0, 0, 
12666, 0, 1, 
12668, 0, 0, 
12670, 1, 0, 
12673, 0, 0, 
12675, 9, 1, 
12677, 1, 1, 
12679, 4, 0, 
12681, 0, 1, 
12683, 1, 0, 
12685, 1, 0, 
12687, 4, 4, 
12689, 4, 0, 
12691, 0, 0, 
12693, 9, 1, 
12695, 0, 0, 
12697, 0, 0, 
12699, 1, 0, 
12701, 0, 1, 
12703, 4, 0, 
12705, 9, 0, 
12707, 36, 0, 
12709, 1, 0, 
12711, 9, 1, 
12713, 9, 0, 
12716, 1, 0, 
12718, 0, 1, 
12720, 0, 1, 
12722, 0, 0, 
12724, 1, 0, 
12726, 0, 0, 
12728, 4, 0, 
12730, 1, 0, 
12732, 0, 0, 
12734, 0, 0, 
12736, 0, 0, 
12738, 1, 0, 
12740, 0, 1, 
12742, 0, 4, 
12744, 0, 0, 
12746, 0, 0, 
12748, 1, 4, 
12750, 4, 4, 
12752, 9, 4, 
12754, 0, 0, 
12756, 0, 0, 
12759, 1, 0, 
12761, 0, 0, 
12763, 4, 0, 
12765, 9, 1, 
12767, 0, 1, 
12769, 1, 0, 
12771, 1, 0, 
12774, 4, 0, 
12776, 0, 0, 
12778, 4, 0, 
12780, 4, 1, 
12782, 0, 0, 
12784, 0, 0, 
12786, 0, 0, 
12788, 0, 0, 
12790, 0, 0, 
12792, 0, 1, 
12794, 4, 0, 
12796, 0, 0, 
12798, 0, 0, 
12801, 25, 0, 
12803, 36, 1, 
12805, 0, 0, 
12807, 16, 0, 
12809, 0, 0, 
12811, 1, 0, 
12813, 1, 0, 
12815, 1, 0, 
12817, 0, 0, 
12819, 0, 0, 
12821, 1, 1, 
12823, 1, 0, 
12825, 0, 0, 
12827, 0, 0, 
12829, 0, 0, 
12831, 0, 0, 
12833, 9, 0, 
12835, 16, 1, 
12837, 1, 0, 
12839, 25, 1, 
12841, 4, 0, 
12844, 0, 1, 
12846, 16, 0, 
12848, 1, 0, 
12850, 1, 0, 
12852, 16, 0, 
12854, 9, 1, 
12856, 0, 0, 
12858, 0, 1, 
12860, 4, 0, 
12862, 0, 0, 
12864, 1, 0, 
12866, 0, 0, 
12868, 0, 0, 
12870, 1, 0, 
12872, 0, 0, 
12874, 0, 0, 
12876, 1, 0, 
12878, 0, 0, 
12880, 0, 1, 
12882, 0, 0, 
12884, 1, 1, 
12888, 0, 1, 
12890, 0, 0, 
12892, 0, 0, 
12894, 0, 0, 
12896, 0, 0, 
12898, 0, 0, 
12900, 0, 0, 
12902, 0, 0, 
12904, 0, 0, 
12906, 0, 0, 
12908, 0, 0, 
12910, 0, 0, 
12912, 0, 0, 
12914, 0, 0, 
12916, 1, 0, 
12918, 9, 0, 
12920, 1, 0, 
12922, 0, 0, 
12924, 0, 0, 
12926, 1, 0, 
12929, 4, 0, 
12931, 25, 0, 
12933, 16, 1, 
12935, 1, 1, 
12937, 0, 4, 
12939, 1, 0, 
12941, 4, 0, 
12943, 0, 1, 
12945, 0, 0, 
12947, 4, 0, 
12949, 0, 0, 
12951, 0, 1, 
12953, 1, 0, 
12955, 0, 0, 
12957, 0, 1, 
12959, 0, 0, 
12961, 0, 0, 
12963, 9, 0, 
12965, 1, 0, 
12967, 0, 0, 
12969, 0, 0, 
12972, 1, 0, 
12974, 1, 0, 
12976, 0, 0, 
12978, 0, 0, 
12980, 0, 0, 
12982, 0, 1, 
12984, 0, 1, 
12986, 1, 0, 
12988, 0, 0, 
12990, 0, 1, 
12992, 0, 0, 
12994, 0, 0, 
12997, 0, 0, 
12999, 0, 1, 
13001, 0, 0, 
13003, 0, 0, 
13005, 0, 0, 
13007, 0, 0, 
13009, 0, 0, 
13011, 0, 0, 
13014, 0, 0, 
13016, 4, 0, 
13018, 9, 0, 
13020, 0, 0, 
13022, 9, 1, 
13024, 1, 1, 
13026, 0, 0, 
13028, 0, 0, 
13030, 0, 0, 
13032, 0, 0, 
13034, 1, 0, 
13036, 0, 0, 
13038, 1, 0, 
13040, 121, 1, 
13042, 25, 9, 
13044, 9, 0, 
13046, 0, 0, 
13048, 1, 1, 
13050, 0, 0, 
13052, 1, 0, 
13054, 9, 0, 
13057, 0, 0, 
13059, 0, 0, 
13061, 1, 1, 
13063, 1, 4, 
13065, 0, 0, 
13067, 0, 0, 
13069, 0, 0, 
13071, 0, 0, 
13073, 1, 0, 
13075, 0, 0, 
13077, 0, 0, 
13079, 0, 0, 
13081, 0, 1, 
13083, 0, 0, 
13085, 0, 0, 
13087, 0, 0, 
13089, 1, 0, 
13091, 0, 0, 
13093, 0, 0, 
13095, 0, 0, 
13097, 0, 0, 
13100, 0, 0, 
13102, 0, 0, 
13104, 0, 0, 
13106, 0, 0, 
13108, 0, 0, 
13110, 0, 0, 
13112, 0, 0, 
13115, 0, 0, 
13117, 0, 0, 
13119, 16, 0, 
13121, 169, 1, 
13123, 36, 1, 
13125, 25, 1, 
13127, 1, 1, 
13129, 0, 0, 
13131, 0, 0, 
13133, 0, 0, 
13135, 1, 0, 
13137, 1, 1, 
13139, 36, 0, 
13142, 16, 1, 
13144, 16, 1, 
13146, 0, 4, 
13148, 4, 0, 
13150, 0, 1, 
13152, 0, 1, 
13154, 1, 0, 
13156, 1, 0, 
13158, 0, 0, 
13160, 0, 0, 
13162, 0, 0, 
13164, 0, 0, 
13166, 0, 1, 
13168, 4, 0, 
13170, 9, 1, 
13172, 0, 0, 
13174, 4, 1, 
13176, 0, 0, 
13178, 1, 0, 
13180, 0, 0, 
13182, 0, 0, 
13185, 0, 1, 
13187, 0, 0, 
13189, 1, 0, 
13191, 4, 0, 
13193, 1, 0, 
13195, 9, 1, 
13197, 0, 0, 
13199, 25, 0, 
13201, 25, 1, 
13203, 4, 0, 
13205, 1, 1, 
13207, 0, 1, 
13209, 1, 0, 
13211, 4, 0, 
13213, 0, 1, 
13215, 9, 0, 
13217, 36, 4, 
13219, 9, 0, 
13221, 4, 0, 
13223, 0, 0, 
13225, 0, 1, 
13228, 0, 0, 
13230, 1, 0, 
13233, 0, 1, 
13235, 0, 0, 
13237, 1, 0, 
13239, 1, 1, 
13241, 0, 0, 
13243, 0, 1, 
13245, 0, 0, 
13247, 0, 1, 
13249, 1, 1, 
13251, 0, 0, 
13253, 16, 1, 
13255, 144, 4, 
13257, 25, 1, 
13259, 49, 0, 
13261, 1, 1, 
13263, 1, 0, 
13265, 0, 0, 
13267, 9, 1, 
13270, 0, 1, 
13272, 0, 0, 
13274, 4, 0, 
13276, 0, 0, 
13278, 0, 0, 
13280, 0, 0, 
13282, 0, 0, 
13284, 0, 0, 
13286, 0, 0, 
13288, 0, 0, 
13290, 1, 1, 
13292, 9, 0, 
13294, 0, 1, 
13296, 0, 0, 
13298, 0, 0, 
13300, 4, 0, 
13302, 1, 0, 
13304, 1, 4, 
13306, 1, 4, 
13308, 4, 0, 
13310, 0, 0, 
13313, 0, 1, 
13315, 0, 0, 
13317, 0, 0, 
13319, 0, 0, 
13321, 0, 0, 
13323, 0, 0, 
13325, 1, 1, 
13327, 0, 0, 
13329, 4, 0, 
13331, 0, 0, 
13333, 64, 1, 
13335, 36, 4, 
13337, 9, 0, 
13339, 36, 1, 
13341, 16, 1, 
13343, 121, 4, 
13345, 1, 0, 
13347, 0, 1, 
13350, 1, 0, 
13352, 9, 0, 
13355, 16, 1, 
13357, 4, 1, 
13359, 1, 1, 
13361, 49, 9, 
13363, 9, 1, 
13365, 25, 9, 
13367, 0, 0, 
13369, 0, 1, 
13371, 0, 4, 
13373, 0, 0, 
13375, 0, 1, 
13377, 0, 0, 
13379, 64, 4, 
13381, 0, 0, 
13383, 49, 1, 
13385, 4, 0, 
13387, 4, 1, 
13389, 1, 1, 
13391, 1, 0, 
13393, 1, 1, 
13395, 49, 0, 
13398, 25, 1, 
13400, 100, 1, 
13402, 25, 9, 
13404, 1369, 4, 
13406, 441, 100, 
13408, 529, 9, 
13410, 1, 36, 
13412, 1, 36, 
13414, 36, 1, 
13416, 0, 25, 
13418, 9, 9, 
13420, 4, 0, 
13422, 144, 9, 
13424, 576, 25, 
13426, 1, 36, 
13428, 225, 49, 
13430, 36, 0, 
13432, 4, 49, 
13434, 1, 9, 
13436, 4, 1, 
13438, 9, 25, 
13441, 4, 1, 
13443, 1, 9, 
13445, 0, 9, 
13447, 169, 4, 
13449, 1, 0, 
13451, 100, 1, 
13453, 729, 1, 
13455, 144, 4, 
13457, 1225, 121, 
13459, 441, 1, 
13461, 4, 121, 
13463, 49, 64, 
13465, 4, 0, 
13467, 49, 81, 
13470, 36, 36, 
13472, 1, 1, 
13474, 1, 25, 
13476, 16, 0, 
13478, 4, 16, 
13480, 16, 1, 
13483, 0, 4, 
13485, 9, 9, 
13487, 0, 1, 
13489, 0, 4, 
13491, 9, 1, 
13493, 9, 0, 
13495, 4, 9, 
13497, 16, 1, 
13499, 1, 1, 
13501, 169, 4, 
13503, 144, 9, 
13505, 121, 16, 
13507, 361, 16, 
13509, 529, 4, 
13511, 0, 1, 
13513, 576, 16, 
13515, 4, 9, 
13517, 169, 25, 
13519, 100, 0, 
13521, 121, 25, 
13523, 4, 9, 
13526, 4, 4, 
13528, 0, 9, 
13530, 4, 0, 
13532, 4, 4, 
13534, 16, 1, 
13536, 0, 0, 
13538, 4, 4, 
13540, 9, 0, 
13542, 25, 0, 
13544, 4, 9, 
13546, 9, 0, 
13548, 0, 0, 
13550, 16, 0, 
13552, 0, 0, 
13554, 0, 0, 
13556, 1, 0, 
13558, 4, 1, 
13560, 0, 0, 
13562, 4, 0, 
13564, 36, 0, 
13566, 64, 9, 
13569, 9, 9, 
13571, 676, 16, 
13573, 400, 64, 
13575, 961, 9, 
13577, 2116, 225, 
13579, 36, 16, 
13581, 400, 4, 
13583, 0, 4, 
13585, 25, 1, 
13588, 4, 16, 
13590, 4, 0, 
13592, 1, 9, 
13594, 49, 4, 
13596, 36, 0, 
13598, 225, 0, 
13600, 196, 25, 
13602, 64, 36, 
13604, 4, 0, 
13606, 64, 0, 
13608, 0, 4, 
13611, 0, 4, 
13613, 0, 1, 
13615, 0, 1, 
13617, 64, 1, 
13619, 1, 0, 
13621, 576, 1, 
13623, 1849, 49, 
13625, 81, 64, 
13627, 81, 9, 
13629, 9, 0, 
13631, 25, 9, 
13633, 4, 4, 
13635, 0, 0, 
13637, 4, 1, 
13639, 25, 0, 
13641, 4, 0, 
13643, 4, 0, 
13645, 0, 0, 
13647, 0, 0, 
13649, 25, 1, 
13651, 49, 4, 
13654, 256, 1, 
13656, 625, 16, 
13658, 36, 4, 
13660, 961, 49, 
13662, 225, 36, 
13664, 1, 1, 
13666, 49, 0, 
13668, 64, 4, 
13670, 49, 0, 
13672, 16, 0, 
13674, 4, 0, 
13676, 16, 1, 
13678, 36, 4, 
13680, 1, 4, 
13682, 49, 0, 
13684, 324, 1, 
13686, 81, 36, 
13688, 1024, 25, 
13690, 11664, 196, 
13692, 0, 361, 
13694, 5476, 256, 
13697, 841, 100, 
13699, 81, 441, 
13701, 81, 100, 
13703, 4, 64, 
13705, 289, 196, 
13707, 169, 36, 
13709, 9, 25, 
13711, 81, 49, 
13714, 16, 0, 
13716, 9, 25, 
13718, 25, 1, 
13720, 4, 25, 
13722, 16, 16, 
13724, 1, 1, 
13726, 1, 16, 
13728, 4, 4, 
13730, 0, 4, 
13732, 9, 1, 
13734, 0, 0, 
13736, 4, 4, 
13739, 4, 1, 
13741, 0, 1, 
13743, 4, 4, 
13745, 0, 0, 
13747, 4, 1, 
13749, 0, 0, 
13751, 121, 4, 
13753, 4, 1, 
13755, 25, 4, 
13757, 9, 1, 
13759, 1, 4, 
13761, 121, 0, 
13763, 9, 4, 
13765, 144, 1, 
13767, 49, 9, 
13769, 0, 9, 
13771, 100, 0, 
13773, 16, 4, 
13775, 9, 25, 
13777, 16, 1, 
13779, 4, 1, 
13782, 256, 16, 
13784, 1089, 36, 
13786, 4, 16, 
13788, 441, 9, 
13790, 64, 1, 
13792, 16, 16, 
13794, 49, 9, 
13796, 1, 1, 
13798, 1, 9, 
13800, 0, 4, 
13802, 9, 1, 
13804, 196, 1, 
13806, 1521, 49, 
13808, 196, 121, 
13810, 100, 16, 
13812, 4, 4, 
13814, 1, 36, 
13816, 49, 4, 
13818, 0, 4, 
13820, 36, 4, 
13822, 9, 1, 
13825, 4, 1, 
13827, 9, 1, 
13829, 1, 1, 
13831, 0, 4, 
13834, 64, 0, 
13836, 289, 16, 
13838, 121, 0, 
13840, 961, 64, 
13842, 4, 9, 
13844, 1681, 49, 
13846, 441, 16, 
13848, 441, 4, 
13850, 49, 0, 
13852, 25, 4, 
13854, 1, 4, 
13856, 1, 0, 
13858, 9, 16, 
13860, 4, 1, 
13862, 0, 1, 
13864, 49, 1, 
13867, 1, 9, 
13869, 289, 0, 
13871, 100, 36, 
13873, 49, 0, 
13875, 0, 9, 
13877, 1, 9, 
13879, 0, 0, 
13881, 9, 4, 
13883, 1, 1, 
13885, 121, 0, 
13887, 49, 25, 
13889, 225, 1, 
13891, 0, 16, 
13893, 144, 9, 
13895, 169, 1, 
13897, 64, 36, 
13899, 2209, 64, 
13901, 1, 100, 
13903, 1225, 121, 
13905, 1, 4, 
13907, 64, 100, 
13910, 0, 16, 
13912, 1, 9, 
13914, 49, 49, 
13916, 36, 1, 
13918, 4, 25, 
13920, 25, 16, 
13922, 36, 1, 
13924, 100, 4, 
13926, 1, 9, 
13928, 64, 16, 
13930, 49, 0, 
13932, 81, 1, 
13934, 16, 0, 
13936, 25, 4, 
13938, 4, 0, 
13940, 1, 1, 
13942, 1, 1, 
13944, 4, 1, 
13946, 1, 0, 
13948, 9, 0, 
13950, 9, 1, 
13954, 25, 0, 
13956, 64, 1, 
13958, 121, 9, 
13960, 484, 4, 
13962, 576, 64, 
13964, 324, 0, 
13966, 144, 36, 
13968, 4, 4, 
13970, 1, 1, 
13972, 16, 4, 
13974, 4, 9, 
13976, 4, 1, 
13978, 0, 16, 
13980, 4, 1, 
13982, 9, 4, 
13984, 0, 1, 
13986, 16, 1, 
13988, 9, 1, 
13990, 529, 1, 
13992, 400, 100, 
13995, 361, 0, 
13997, 0, 49, 
13999, 64, 49, 
14001, 0, 1, 
14003, 9, 25, 
14005, 36, 16, 
14007, 0, 1, 
14009, 9, 9, 
14011, 9, 0, 
14013, 4, 1, 
14015, 64, 0, 
14017, 0, 1, 
14019, 36, 0, 
14021, 169, 4, 
14023, 169, 25, 
14025, 1, 0, 
14027, 0, 1, 
14029, 9, 1, 
14031, 4, 4, 
14033, 1, 9, 
14035, 9, 4, 
14038, 0, 4, 
14040, 16, 1, 
14042, 16, 1, 
14044, 1, 4, 
14046, 16, 1, 
14048, 0, 1, 
14050, 1, 0, 
14052, 0, 0, 
14054, 0, 1, 
14056, 0, 4, 
14058, 25, 4, 
14060, 25, 1, 
14062, 0, 1, 
14064, 169, 1, 
14066, 64, 4, 
14068, 1089, 4, 
14070, 289, 64, 
14072, 484, 9, 
14075, 16, 16, 
14077, 9, 36, 
14080, 0, 0, 
14082, 0, 9, 
14084, 4, 9, 
14086, 25, 0, 
14088, 64, 1, 
14090, 169, 1, 
14092, 1296, 16, 
14094, 225, 36, 
14096, 1156, 81, 
14098, 225, 16, 
14100, 16, 81, 
14102, 16, 16, 
14104, 0, 9, 
14106, 49, 36, 
14108, 9, 16, 
14110, 1, 9, 
14112, 9, 4, 
14114, 1, 0, 
14116, 1, 4, 
14118, 4, 0, 
14120, 4, 1, 
14123, 4, 9, 
14125, 9, 0, 
14127, 9, 9, 
14129, 0, 0, 
14131, 1, 1, 
14133, 1, 4, 
14135, 4, 0, 
14137, 0, 1, 
14139, 16, 1, 
14141, 9, 0, 
14143, 49, 1, 
14145, 25, 1, 
14147, 16, 9, 
14149, 25, 0, 
14151, 4, 0, 
14153, 25, 0, 
14155, 0, 4, 
14157, 169, 0, 
14159, 100, 9, 
14161, 9, 0, 
14163, 121, 4, 
14166, 81, 0, 
14168, 25, 0, 
14170, 9, 0, 
14172, 9, 0, 
14174, 0, 0, 
14176, 4, 0, 
14178, 0, 0, 
14180, 4, 0, 
14182, 100, 0, 
14184, 16, 9, 
14186, 144, 1, 
14188, 0, 4, 
14191, 16, 1, 
14193, 0, 0, 
14195, 0, 0, 
14197, 4, 9, 
14199, 0, 0, 
14201, 0, 4, 
14203, 64, 0, 
14205, 1, 0, 
14208, 529, 1, 
14210, 100, 36, 
14212, 144, 1, 
14214, 0, 16, 
14216, 16, 9, 
14218, 4, 0, 
14220, 9, 4, 
14222, 1, 1, 
14224, 25, 1, 
14226, 1, 1, 
14228, 16, 0, 
14230, 0, 0, 
14232, 9, 0, 
14234, 25, 0, 
14236, 16, 0, 
14238, 36, 0, 
14240, 0, 0, 
14242, 36, 1, 
14244, 4, 4, 
14246, 0, 0, 
14248, 16, 0, 
14251, 16, 4, 
14253, 121, 1, 
14255, 4, 9, 
14257, 64, 4, 
14259, 0, 1, 
14261, 4, 9, 
14263, 1, 16, 
14265, 0, 9, 
14267, 0, 36, 
14269, 4, 9, 
14271, 4, 0, 
14273, 196, 0, 
14275, 16, 0, 
14277, 121, 9, 
14279, 4, 16, 
14281, 36, 9, 
14283, 9, 0, 
14285, 1, 0, 
14287, 1, 0, 
14289, 64, 25, 
14291, 100, 36, 
14294, 361, 1, 
14296, 289, 64, 
14298, 121, 0, 
14300, 25, 9, 
14302, 9, 25, 
14304, 9, 0, 
14306, 1, 9, 
14308, 16, 9, 
14311, 1, 0, 
14313, 4, 9, 
14315, 4, 0, 
14317, 0, 0, 
14319, 1, 4, 
14321, 0, 0, 
14323, 1, 4, 
14325, 4, 0, 
14327, 0, 1, 
14329, 1, 0, 
14331, 16, 0, 
14333, 100, 16, 
14336, 25, 25, 
14338, 225, 1, 
14340, 289, 16, 
14342, 64, 0, 
14344, 36, 49, 
14346, 16, 9, 
14348, 4, 9, 
14350, 1, 25, 
14352, 1, 25, 
14354, 16, 16, 
14356, 1, 4, 
14358, 36, 0, 
14360, 1, 0, 
14362, 81, 4, 
14364, 1, 0, 
14366, 9, 0, 
14368, 16, 0, 
14370, 25, 1, 
14372, 1, 4, 
14374, 4, 4, 
14376, 4, 1, 
14379, 1, 4, 
14381, 4, 0, 
14383, 1, 1, 
14385, 9, 0, 
14387, 1, 0, 
14389, 0, 1, 
14391, 0, 0, 
14393, 25, 1, 
14395, 9, 1, 
14397, 0, 0, 
14399, 1, 0, 
14401, 1, 0, 
14403, 36, 0, 
14405, 100, 9, 
14407, 4, 0, 
14409, 441, 25, 
14411, 81, 16, 
14413, 121, 25, 
14415, 16, 36, 
14417, 4, 0, 
14419, 9, 1, 
14422, 9, 0, 
14424, 9, 4, 
14426, 25, 0, 
14428, 49, 4, 
14431, 169, 0, 
14433, 81, 16, 
14435, 144, 4, 
14437, 9, 16, 
14439, 4, 9, 
14441, 0, 0, 
14443, 4, 9, 
14445, 49, 1, 
14447, 64, 0, 
14449, 100, 0, 
14451, 16, 0, 
14453, 16, 9, 
14455, 0, 1, 
14457, 0, 0, 
14459, 1, 0, 
14461, 1, 0, 
14464, 0, 0, 
14466, 1, 1, 
14468, 0, 0, 
14470, 4, 1, 
14472, 0, 0, 
14474, 36, 0, 
14476, 1, 4, 
14478, 121, 4, 
14480, 4, 9, 
14482, 225, 9, 
14484, 49, 9, 
14486, 64, 9, 
14488, 0, 9, 
14490, 16, 16, 
14492, 4, 9, 
14494, 4, 4, 
14496, 9, 0, 
14498, 4, 0, 
14500, 4, 0, 
14502, 1, 9, 
14504, 36, 1, 
14507, 1, 0, 
14509, 4, 0, 
14511, 1, 0, 
14513, 9, 0, 
14515, 0, 0, 
14517, 1, 0, 
14519, 49, 0, 
14521, 49, 0, 
14523, 25, 0, 
14525, 36, 1, 
14527, 1, 1, 
14529, 49, 0, 
14531, 1, 0, 
14533, 0, 1, 
14535, 1, 0, 
14537, 25, 1, 
14539, 36, 1, 
14541, 0, 1, 
14543, 0, 0, 
14546, 0, 0, 
14548, 1, 0, 
14551, 0, 0, 
14553, 0, 1, 
14555, 1, 0, 
14557, 1, 1, 
14559, 1, 1, 
14561, 0, 0, 
14563, 0, 0, 
14565, 4, 0, 
14567, 0, 0, 
14569, 4, 0, 
14571, 1, 0, 
14573, 4, 0, 
14575, 4, 1, 
14577, 9, 1, 
14579, 16, 1, 
14581, 25, 4, 
14583, 4, 0, 
14585, 25, 1, 
14587, 64, 25, 
14589, 4, 4, 
14592, 36, 16, 
14594, 49, 4, 
14596, 25, 1, 
14598, 16, 0, 
14600, 36, 0, 
14602, 25, 1, 
14604, 1, 0, 
14606, 16, 0, 
14608, 0, 0, 
14610, 16, 0, 
14612, 1, 1, 
14614, 25, 1, 
14616, 25, 1, 
14618, 4, 0, 
14620, 25, 4, 
14622, 0, 0, 
14624, 0, 0, 
14626, 25, 0, 
14628, 0, 1, 
14630, 25, 0, 
14632, 4, 1, 
14635, 0, 0, 
14637, 0, 0, 
14639, 4, 0, 
14641, 9, 1, 
14643, 16, 0, 
14645, 16, 1, 
14647, 25, 0, 
14649, 4, 0, 
14651, 9, 0, 
14653, 4, 0, 
14655, 25, 0, 
14657, 4, 1, 
14659, 9, 0, 
14662, 9, 0, 
14664, 49, 0, 
14666, 16, 0, 
14668, 49, 0, 
14670, 25, 4, 
14672, 1, 0, 
14674, 4, 0, 
14676, 16, 9, 
14679, 1, 1, 
14681, 1, 1, 
14683, 0, 1, 
14685, 4, 0, 
14687, 0, 9, 
14689, 0, 1, 
14691, 0, 0, 
14693, 0, 9, 
14695, 16, 0, 
14697, 0, 1, 
14699, 4, 0, 
14701, 0, 1, 
14703, 1, 1, 
14705, 1, 1, 
14707, 9, 0, 
14709, 9, 0, 
14711, 1, 0, 
14713, 4, 0, 
14715, 4, 0, 
14717, 1, 1, 
14720, 9, 0, 
14722, 0, 0, 
14724, 1, 0, 
14726, 4, 0, 
14728, 0, 1, 
14730, 0, 1, 
14732, 16, 1, 
14734, 1, 16, 
14736, 9, 1, 
14738, 0, 49, 
14740, 64, 0, 
14742, 169, 1, 
14744, 25, 16, 
14746, 0, 9, 
14748, 4, 0, 
14750, 0, 1, 
14752, 256, 9, 
