=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 17:01:49 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_L
584, 81, 1, 
586, 441, 0, 
588, 0, 9, 
590, 121, 0, 
592, 1, 9, 
594, 0, 1, 
596, 9, 1, 
599, 144, 4, 
601, 1, 1, 
603, 36, 1, 
605, 0, 0, 
607, 4, 0, 
609, 144, 1, 
611, 4, 1, 
613, 2601, 36, 
615, 144, 144, 
617, 1369, 49, 
619, 25, 25, 
621, 289, 100, 
623, 9, 0, 
625, 36, 16, 
627, 9, 81, 
629, 64, 0, 
631, 0, 64, 
633, 49, 16, 
635, 25, 1, 
637, 1444, 25, 
641, 361, 81, 
643, 441, 0, 
645, 4, 64, 
647, 9, 16, 
649, 64, 1, 
651, 64, 16, 
653, 1, 9, 
655, 4, 1, 
657, 9, 16, 
659, 1, 0, 
661, 4, 4, 
663, 0, 1, 
665, 1, 0, 
667, 4, 1, 
669, 1, 0, 
671, 0, 0, 
673, 4, 0, 
675, 0, 0, 
677, 4, 1, 
679, 0, 0, 
681, 4, 0, 
684, 1, 1, 
686, 4, 0, 
688, 1, 0, 
690, 9, 1, 
692, 36, 0, 
694, 144, 1, 
696, 324, 25, 
698, 64, 1, 
700, 49, 16, 
702, 144, 1, 
704, 361, 49, 
706, 256, 9, 
708, 25, 4, 
710, 169, 0, 
712, 9, 4, 
714, 169, 9, 
716, 25, 9, 
718, 4, 0, 
720, 0, 1, 
723, 0, 0, 
726, 0, 0, 
728, 25, 0, 
730, 0, 1, 
732, 4, 0, 
734, 4, 1, 
736, 4, 4, 
738, 16, 0, 
740, 9, 16, 
742, 9, 0, 
744, 9, 0, 
746, 0, 4, 
748, 9, 1, 
750, 36, 0, 
752, 1, 1, 
754, 25, 1, 
756, 0, 1, 
758, 121, 0, 
760, 324, 9, 
762, 256, 4, 
764, 441, 25, 
766, 49, 0, 
769, 9, 25, 
771, 0, 1, 
773, 0, 0, 
775, 9, 4, 
777, 4, 0, 
779, 0, 1, 
781, 4, 4, 
783, 1, 0, 
785, 1, 9, 
787, 1, 0, 
789, 100, 9, 
791, 256, 4, 
793, 121, 9, 
795, 49, 1, 
797, 64, 1, 
799, 64, 4, 
802, 9, 9, 
804, 16, 0, 
806, 16, 0, 
808, 16, 0, 
811, 81, 0, 
813, 16, 4, 
815, 4, 0, 
817, 16, 0, 
819, 0, 0, 
821, 4, 0, 
823, 0, 1, 
825, 0, 0, 
827, 0, 0, 
829, 0, 0, 
831, 1, 0, 
833, 9, 0, 
835, 0, 0, 
837, 0, 0, 
839, 4, 1, 
841, 0, 0, 
843, 1, 0, 
845, 0, 1, 
847, 1, 0, 
849, 0, 0, 
851, 9, 1, 
854, 1, 0, 
856, 64, 0, 
858, 9, 0, 
860, 144, 1, 
862, 100, 9, 
864, 121, 1, 
866, 49, 9, 
868, 64, 4, 
870, 0, 1, 
872, 121, 9, 
874, 81, 1, 
876, 16, 1, 
879, 4, 0, 
881, 1, 0, 
883, 0, 9, 
885, 16, 0, 
887, 0, 0, 
889, 25, 1, 
891, 361, 1, 
893, 3249, 81, 
896, 324, 121, 
898, 900, 25, 
900, 1, 25, 
902, 100, 49, 
904, 9, 0, 
906, 1, 9, 
908, 25, 16, 
910, 4, 0, 
912, 1, 16, 
914, 9, 4, 
916, 0, 0, 
918, 4, 9, 
920, 0, 0, 
922, 16, 1, 
924, 16, 4, 
926, 4, 9, 
928, 1, 1, 
930, 4, 0, 
932, 0, 1, 
934, 0, 4, 
936, 0, 4, 
939, 16, 4, 
941, 4, 0, 
943, 49, 4, 
945, 0, 0, 
947, 64, 9, 
949, 9, 0, 
951, 81, 1, 
953, 9, 1, 
955, 36, 0, 
957, 1, 0, 
959, 0, 0, 
962, 36, 0, 
964, 36, 4, 
966, 0, 0, 
968, 4, 0, 
970, 1, 1, 
972, 1, 0, 
974, 4, 0, 
976, 1, 1, 
978, 1, 0, 
980, 0, 0, 
983, 16, 0, 
985, 0, 0, 
987, 16, 0, 
989, 4, 0, 
991, 1, 0, 
993, 0, 0, 
995, 0, 1, 
997, 1, 0, 
999, 1, 0, 
1001, 1, 0, 
1003, 0, 1, 
1005, 0, 1, 
1007, 0, 0, 
1009, 1, 0, 
1011, 9, 0, 
1013, 4, 1, 
1015, 0, 4, 
1017, 0, 1, 
1019, 1, 0, 
1021, 144, 0, 
1024, 484, 16, 
1026, 36, 9, 
1028, 625, 16, 
1030, 16, 4, 
1032, 81, 9, 
1034, 100, 0, 
1036, 49, 0, 
1038, 4, 9, 
1040, 25, 0, 
1042, 0, 1, 
1044, 36, 0, 
1046, 1, 1, 
1049, 0, 0, 
1051, 25, 1, 
1053, 9, 0, 
1055, 1, 0, 
1057, 9, 1, 
1059, 0, 0, 
