=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.02.08 16:52:51 =~=~=~=~=~=~=~=~=~=~=~=

Time, Trap_L, Pec_R
0,  0, 
616, 0, 1, 
618, 0, 0, 
620, 0, 1, 
622, 1, 0, 
624, 0, 0, 
626, 0, 0, 
628, 0, 0, 
630, 0, 0, 
633, 0, 0, 
635, 0, 0, 
637, 0, 0, 
640, 0, 0, 
642, 0, 0, 
644, 0, 1, 
646, 0, 0, 
648, 0, 0, 
650, 0, 0, 
652, 0, 0, 
654, 0, 1, 
656, 0, 1, 
658, 0, 1, 
660, 0, 1, 
662, 0, 0, 
664, 0, 0, 
666, 0, 0, 
668, 1, 0, 
670, 0, 0, 
672, 4, 0, 
674, 4, 0, 
676, 0, 1, 
678, 1, 1, 
680, 1, 0, 
683, 0, 0, 
685, 0, 1, 
687, 0, 1, 
689, 0, 0, 
691, 1, 0, 
693, 1, 0, 
695, 0, 0, 
697, 0, 4, 
699, 0, 16, 
701, 0, 4, 
703, 0, 0, 
705, 0, 0, 
707, 0, 0, 
710, 0, 1, 
712, 0, 1, 
714, 0, 1, 
716, 0, 0, 
718, 0, 0, 
720, 0, 0, 
722, 0, 1, 
724, 0, 1, 
727, 0, 4, 
729, 0, 0, 
731, 0, 1, 
733, 0, 0, 
735, 0, 0, 
737, 0, 0, 
739, 0, 0, 
741, 0, 0, 
743, 0, 0, 
745, 0, 0, 
747, 0, 0, 
749, 0, 0, 
751, 0, 0, 
753, 0, 0, 
755, 0, 0, 
757, 0, 0, 
759, 0, 0, 
761, 0, 0, 
763, 0, 0, 
765, 0, 0, 
768, 0, 0, 
770, 0, 0, 
772, 0, 0, 
774, 0, 0, 
776, 0, 0, 
778, 1, 0, 
780, 0, 0, 
783, 0, 0, 
785, 4, 0, 
787, 1, 0, 
789, 4, 0, 
791, 0, 1, 
793, 0, 0, 
795, 0, 0, 
797, 0, 1, 
799, 0, 0, 
801, 0, 0, 
803, 0, 0, 
805, 0, 0, 
807, 0, 1, 
809, 0, 0, 
812, 0, 0, 
814, 0, 0, 
816, 0, 0, 
818, 0, 0, 
820, 0, 0, 
822, 0, 0, 
824, 0, 0, 
826, 0, 0, 
828, 0, 0, 
830, 0, 0, 
832, 0, 0, 
834, 0, 0, 
836, 0, 0, 
838, 0, 0, 
840, 16, 0, 
842, 81, 1, 
844, 9, 1, 
846, 9, 1, 
848, 36, 0, 
850, 16, 0, 
852, 9, 4, 
855, 9, 0, 
857, 25, 1, 
860, 36, 9, 
862, 9, 1, 
864, 1, 1, 
866, 9, 0, 
868, 49, 1, 
870, 4, 9, 
872, 16, 1, 
874, 64, 1, 
876, 4, 16, 
878, 36, 4, 
880, 9, 9, 
882, 1, 1, 
884, 1, 9, 
886, 0, 1, 
888, 1, 1, 
890, 9, 1, 
892, 1, 0, 
894, 0, 4, 
897, 4, 0, 
899, 25, 0, 
901, 225, 1, 
903, 81, 0, 
905, 100, 9, 
907, 196, 1, 
909, 0, 16, 
911, 81, 9, 
913, 0, 1, 
915, 9, 4, 
917, 0, 4, 
919, 9, 4, 
921, 4, 9, 
923, 9, 1, 
925, 4, 1, 
927, 1, 1, 
929, 4, 9, 
931, 4, 1, 
933, 9, 0, 
935, 4, 9, 
937, 324, 1, 
941, 64, 0, 
943, 324, 9, 
945, 484, 0, 
947, 9, 16, 
949, 9, 16, 
951, 361, 1, 
953, 1156, 4, 
955, 1, 144, 
957, 961, 36, 
959, 400, 49, 
961, 361, 144, 
963, 9, 4, 
965, 81, 81, 
967, 64, 16, 
969, 1, 4, 
971, 4, 25, 
973, 16, 0, 
975, 4, 9, 
977, 36, 16, 
979, 0, 0, 
982, 0, 16, 
984, 0, 1, 
986, 1, 9, 
988, 144, 4, 
990, 64, 16, 
992, 625, 16, 
994, 81, 25, 
996, 289, 36, 
998, 16, 1, 
1000, 25, 49, 
1002, 0, 16, 
1004, 0, 4, 
1006, 25, 25, 
1008, 9, 4, 
1010, 0, 4, 
1012, 36, 9, 
1014, 361, 4, 
1016, 144, 9, 
1018, 2500, 0, 
1021, 16, 49, 
1024, 1369, 49, 
1026, 529, 16, 
1028, 1, 121, 
1030, 144, 49, 
1032, 25, 4, 
1034, 25, 100, 
1036, 25, 9, 
1038, 4, 9, 
1040, 36, 9, 
1042, 9, 1, 
1044, 4, 16, 
1046, 9, 0, 
1048, 0, 1, 
1050, 9, 4, 
1052, 1, 0, 
1054, 4, 1, 
1056, 1, 4, 
1058, 0, 4, 
1060, 4, 1, 
1062, 1, 0, 
1064, 1, 0, 
1067, 1, 0, 
1069, 0, 0, 
1071, 1, 0, 
1073, 0, 1, 
1075, 0, 0, 
1077, 1, 0, 
1079, 0, 1, 
1081, 0, 0, 
1083, 0, 0, 
1085, 0, 0, 
1087, 0, 0, 
1089, 0, 0, 
1091, 0, 4, 
1093, 0, 4, 
1095, 0, 0, 
1097, 0, 1, 
1099, 0, 0, 
1101, 0, 0, 
1103, 1, 1, 
1106, 0, 1, 
1108, 0, 0, 
1111, 0, 0, 
1113, 0, 0, 
1115, 0, 0, 
1117, 0, 0, 
1119, 0, 0, 
1121, 0, 0, 
1123, 0, 0, 
1125, 0, 0, 
1127, 0, 0, 
1129, 0, 0, 
1131, 0, 1, 
1133, 0, 4, 
1135, 0, 0, 
1137, 0, 0, 
1139, 0, 0, 
1141, 0, 0, 
1143, 0, 0, 
1145, 0, 0, 
1147, 0, 0, 
1149, 0, 0, 
1152, 0, 0, 
1154, 0, 0, 
1156, 0, 0, 
1158, 0, 0, 
1160, 0, 0, 
1162, 0, 0, 
1164, 0, 1, 
1166, 0, 1, 
1168, 0, 1, 
1170, 0, 0, 
1172, 1, 0, 
1174, 0, 0, 
1176, 0, 0, 
1178, 0, 1, 
1180, 1, 0, 
1182, 0, 0, 
1184, 0, 0, 
1187, 0, 0, 
1189, 0, 1, 
1191, 0, 1, 
1193, 0, 0, 
1196, 0, 0, 
1198, 0, 1, 
1200, 0, 1, 
1202, 1, 1, 
1204, 0, 1, 
1206, 4, 1, 
1208, 4, 1, 
1210, 25, 4, 
1212, 0, 1, 
1214, 529, 1, 
1216, 1156, 81, 
1218, 169, 25, 
1220, 400, 64, 
1222, 289, 1, 
1224, 441, 25, 
1226, 144, 144, 
1228, 4356, 25, 
1230, 49, 361, 
1232, 1600, 196, 
1234, 400, 25, 
1236, 64, 400, 
1239, 4, 64, 
1241, 16, 81, 
1243, 64, 196, 
1245, 64, 0, 
1247, 4, 49, 
1249, 64, 36, 
1251, 1, 9, 
1253, 36, 64, 
1255, 9, 0, 
1257, 1, 36, 
1259, 36, 9, 
1261, 0, 1, 
1263, 4, 9, 
1265, 4, 0, 
1267, 1, 9, 
1269, 4, 1, 
1271, 0, 1, 
1273, 4, 4, 
1275, 4, 0, 
1277, 1, 1, 
1280, 4, 1, 
1283, 0, 1, 
1285, 0, 1, 
1287, 1, 0, 
1289, 1, 0, 
1291, 1, 0, 
